year,month number,month,temperature
1987,4,april,13.8
1987,5,may,15.1
1987,6,june,19.6
1987,7,july,23.7
1987,8,august,24.3
1987,9,september,23.9
1987,10,october,16.9
1987,11,november,11.2
1987,12,december,10.8
1988,1,january,9.5
1988,2,february,8.6
1988,3,march,11.2
1988,4,april,13.1
1988,5,may,16.3
1988,6,june,19.8
1988,7,july,23.7
1988,8,august,24.3
1988,9,september,21.2
1988,10,october,17.8
1988,11,november,11.8
1988,12,december,8.8
1989,1,january,8.8
1989,2,february,10.5
1989,3,march,12.4
1989,4,april,11.9
1989,5,may,17.8
1989,6,june,21.2
1989,7,july,25.0
1989,8,august,24.4
1989,9,september,20.0
1989,10,october,17.7
1989,11,november,12.7
1989,12,december,11.2
1990,1,january,9.0
1990,2,february,12.5
1990,3,march,12.6
1990,4,april,12.3
1990,5,may,18.1
1990,6,june,20.1
1990,7,july,24.2
1990,8,august,24.6
1990,9,september,21.5
1990,10,october,17.1
1990,11,november,10.9
1990,12,december,6.7
1991,1,january,8.1
1991,2,february,8.0
1991,3,march,11.8
1991,4,april,11.5
1991,5,may,14.0
1991,6,june,19.7
1991,7,july,24.3
1991,8,august,24.6
1991,9,september,22.0
1991,10,october,15.1
1991,11,november,10.9
1991,12,december,8.5
1992,1,january,7.1
1992,2,february,8.9
1992,3,march,11.0
1992,4,april,13.7
1992,5,may,17.7
1992,6,june,17.6
1992,7,july,22.5
1992,8,august,24.3
1992,9,september,20.5
1992,10,october,14.4
1992,11,november,13.4
1992,12,december,9.2
1993,1,january,9.0
1993,2,february,8.2
1993,3,march,10.2
1993,4,april,12.8
1993,5,may,17.0
1993,6,june,21.5
1993,7,july,22.6
1993,8,august,24.3
1993,9,september,19.6
1993,10,october,14.5
1993,11,november,10.5
1993,12,december,9.3
1994,1,january,8.4
1994,2,february,9.5
1994,3,march,13.1
1994,4,april,12.3
1994,5,may,17.2
1994,6,june,20.9
1994,7,july,25.9
1994,8,august,25.7
1994,9,september,19.7
1994,10,october,16.1
1994,11,november,14.0
1994,12,december,9.7
1995,1,january,8.6
1995,2,february,11.5
1995,3,march,10.9
1995,4,april,14.0
1995,5,may,17.2
1995,6,june,19.6
1995,7,july,25.0
1995,8,august,23.3
1995,9,september,18.7
1995,10,october,18.3
1995,11,november,12.9
1995,12,december,10.1
1996,1,january,10.2
1996,2,february,7.7
1996,3,march,9.9
1996,4,april,13.2
1996,5,may,16.2
1996,6,june,21.2
1996,7,july,23.4
1996,8,august,22.7
1996,9,september,18.3
1996,10,october,15.8
1996,11,november,11.4
1996,12,december,9.7
1997,1,january,8.7
1997,2,february,11.4
1997,3,march,13.9
1997,4,april,14.1
1997,5,may,17.6
1997,6,june,20.2
1997,7,july,22.5
1997,8,august,24.6
1997,9,september,21.7
1997,10,october,18.9
1997,11,november,12.6
1997,12,december,9.3
1998,1,january,8.8
1998,2,february,11.0
1998,3,march,12.2
1998,4,april,12.7
1998,5,may,17.7
1998,6,june,20.9
1998,7,july,23.7
1998,8,august,24.3
1998,9,september,20.7
1998,10,october,15.9
1998,11,november,10.8
1998,12,december,8.7
1999,1,january,8.8
1999,2,february,8.6
1999,3,march,11.6
1999,4,april,13.7
1999,5,may,18.6
1999,6,june,20.5
1999,7,july,23.4
1999,8,august,24.6
1999,9,september,21.7
1999,10,october,17.0
1999,11,november,9.6
1999,12,december,9.0
2000,1,january,7.7
2000,2,february,11.4
2000,3,march,12.6
2000,4,april,13.3
2000,5,may,18.3
2000,6,june,21.0
2000,7,july,22.8
2000,8,august,24.5
2000,9,september,21.0
2000,10,october,16.0
2000,11,november,11.3
2000,12,december,11.0
2001,1,january,9.9
2001,2,february,10.1
2001,3,march,14.8
2001,4,april,13.8
2001,5,may,18.2
2001,6,june,21.9
2001,7,july,23.7
2001,8,august,25.0
2001,9,september,19.6
2001,10,october,19.4
2001,11,november,10.7
2001,12,december,6.8
2002,1,january,9.2
2002,2,february,11.1
2002,3,march,12.3
2002,4,april,13.7
2002,5,may,15.5
2002,6,june,22.3
2002,7,july,22.9
2002,8,august,21.6
2002,9,september,19.9
2002,10,october,17.4
2002,11,november,13.0
2002,12,december,10.4
2003,1,january,7.9
2003,2,february,7.1
2003,3,march,12.1
2003,4,april,14.0
2003,5,may,18.0
2003,6,june,25.6
2003,7,july,26.1
2003,8,august,28.5
2003,9,september,20.8
2003,10,october,15.2
2003,11,november,12.7
2003,12,december,8.8
2004,1,january,9.4
2004,2,february,8.6
2004,3,march,10.0
2004,4,april,12.8
2004,5,may,16.2
2004,6,june,22.4
2004,7,july,23.5
2004,8,august,25.1
2004,9,september,21.4
2004,10,october,18.9
2004,11,november,11.4
2004,12,december,9.3
2005,1,january,7.2
2005,2,february,6.5
2005,3,march,10.2
2005,4,april,14.0
2005,5,may,18.8
2005,6,june,23.4
2005,7,july,24.4
